Date,Day of Week,Payment Type,Customer ID,Approval,Order,Price,Cost,Commision,Total VAT,Total Fee,Revenue
2023-01-07,Saturday,CREDIT,05PC80,PAY,Strawberry Joyful,6500,2611.61,1964,221,2185,-481.61
2023-01-07,Saturday,BANK,0AF4R0,PAY,Orange Juice,6500,1287,1964,221,2185,843
2023-01-07,Saturday,BANK,0AF4R0,PAY,Pear Juice,7500,1002.5,1964,221,2185,2127.5
2023-01-07,Saturday,BANK,1A28G0,PAY,ABC Juice,7000,1274.8,1964,221,2185,1355.2
2023-01-07,Saturday,BANK,1A28G0,PAY,Apple Pineapple Kale Juice,7000,1150.02,1964,221,2185,1479.98
2023-01-07,Saturday,CREDIT,298LR0,PAY,Apple Kale Juice,7000,1006.5,1586.666667,175.3333333,1762,2469.5
2023-01-07,Saturday,CREDIT,298LR0,PAY,Apple Kale Juice,7000,1006.5,1586.666667,175.3333333,1762,2469.5
2023-01-07,Saturday,CREDIT,298LR0,PAY,Strawberry Joyful,6500,2611.61,1586.666667,175.3333333,1762,364.39
2023-01-07,Saturday,CREDIT,2YB1G0,PAY,ABC Juice,7000,1274.8,2130.5,238,2368.5,988.2
2023-01-07,Saturday,CREDIT,2YB1G0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,2130.5,238,2368.5,409.5
2023-01-08,Sunday,BANK,21JRG0,PAY,Apple Kale Juice,7000,1006.5,2130.5,238,2368.5,1256.5
2023-01-08,Sunday,BANK,21JRG0,PAY,Orange Pineapple Juice,6500,1350.9,2130.5,238,2368.5,412.1
2023-01-10,Tuesday,CREDIT,080PG0,PAY,Seasonal Fruit (17oz),13000,6000,2188,243.5,2431.5,2137
2023-01-10,Tuesday,CREDIT,080PG0,PAY,Apple Carrot Juice,7000,1205.38,2188,243.5,2431.5,931.62
2023-01-10,Tuesday,CREDIT,29F9G0,PAY,Pineapple Juice,6500,2492.2,1964,221,2185,-362.2
2023-01-10,Tuesday,CREDIT,29F9G0,PAY,Pineapple Sunshine,6500,2005.77,1964,221,2185,124.23
2023-01-11,Wednesday,CHECK,2DPK00,PAY,Mango Coco,6500,1900.7,1522.666667,168.6666667,1691.333333,1216.633333
2023-01-11,Wednesday,CHECK,2DPK00,PAY,Apple Kale Juice,7000,1006.5,1522.666667,168.6666667,1691.333333,2610.833333
2023-01-11,Wednesday,CHECK,2DPK00,PAY,Pineapple Lassi Yogurt Smoothie,6500,1618.02,1522.666667,168.6666667,1691.333333,1499.313333
2023-01-12,Thursday,BANK,0FAUR0,PAY,ABC Juice,7000,1274.8,1853,195.4,2048.4,1628.4
2023-01-12,Thursday,BANK,0FAUR0,PAY,ABC Juice,7000,1274.8,1853,195.4,2048.4,1628.4
2023-01-12,Thursday,BANK,0FAUR0,PAY,Strawberry Milk,6000,1575.03,1853,195.4,2048.4,328.17
2023-01-12,Thursday,BANK,0FAUR0,PAY,Strawberry Milk,6000,1575.03,1853,195.4,2048.4,328.17
2023-01-12,Thursday,BANK,0FAUR0,PAY,Croque-Monsieur,6000,2229.92,1853,195.4,2048.4,-326.72
2023-01-13,Friday,BANK,0LY7R0,PAY,Apple Kale Juice,7000,1006.5,1832.4,193.2,2025.6,1942.3
2023-01-13,Friday,BANK,0LY7R0,PAY,ABC Juice,7000,1274.8,1832.4,193.2,2025.6,1674
2023-01-13,Friday,BANK,0LY7R0,PAY,Apple Beet Juice,7000,732.67,1832.4,193.2,2025.6,2216.13
2023-01-13,Friday,BANK,0LY7R0,PAY,Apple Carrot Juice,7000,1205.38,1832.4,193.2,2025.6,1743.42
2023-01-13,Friday,BANK,0LY7R0,PAY,Lemon Juice,6500,1037.5,1832.4,193.2,2025.6,1411.3
2023-01-13,Friday,CHECK,1W9S80,PAY,My Special Juice,6500,2000,1620.666667,178.6666667,1799.333333,901.3333333
2023-01-13,Friday,CHECK,1W9S80,PAY,Strawberry Lassi Yogurt Smoothie,6500,1519.71,1620.666667,178.6666667,1799.333333,1381.623333
2023-01-13,Friday,CHECK,1W9S80,PAY,Mango Coco,6500,1900.7,1620.666667,178.6666667,1799.333333,1000.633333
2023-01-13,Friday,CHECK,1XU0G0,PAY,Apple Carrot Juice,7000,1205.38,1586.666667,175.3333333,1762,2270.62
2023-01-13,Friday,CHECK,1XU0G0,PAY,Peach Juice,6500,1488.7,1586.666667,175.3333333,1762,1487.3
2023-01-13,Friday,CHECK,1XU0G0,PAY,Melon Juice,7500,1557.2,1586.666667,175.3333333,1762,2418.8
2023-01-13,Friday,CREDIT,2DVN00,PAY,Mango Coco,6500,1900.7,1964,221,2185,229.3
2023-01-13,Friday,CREDIT,2DVN00,PAY,Passion Island,6500,2077.72,1964,221,2185,52.28
2023-01-15,Sunday,MONEY,1WB9G0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,2236.25,236.25,2472.5,201.5
2023-01-15,Sunday,MONEY,1WB9G0,PAY,Berry Banana Greek Yogurt,7500,1743,2236.25,236.25,2472.5,812
2023-01-15,Sunday,MONEY,1WB9G0,PAY,My Special Greek Yogurt,5000,1000,2236.25,236.25,2472.5,-945
2023-01-15,Sunday,MONEY,1WB9G0,PAY,ABC Juice,7000,1274.8,2236.25,236.25,2472.5,780.2
2023-01-15,Sunday,CREDIT,2GFC00,PAY,Apple Kale Juice,7000,1006.5,2015,226.5,2241.5,1510.5
2023-01-15,Sunday,CREDIT,2GFC00,PAY,Strawberry Lassi Yogurt Smoothie,6500,1519.71,2015,226.5,2241.5,497.29
2023-01-15,Sunday,CREDIT,2UNSG0,PAY,Peach Juice,6500,1488.7,1812,191.2,2003.2,1004.9
2023-01-15,Sunday,CREDIT,2UNSG0,PAY,Pineapple Juice,6500,2492.2,1812,191.2,2003.2,1.4
2023-01-15,Sunday,CREDIT,2UNSG0,PAY,Pineapple Juice,6500,2492.2,1812,191.2,2003.2,1.4
2023-01-15,Sunday,CREDIT,2UNSG0,PAY,Green Grape Juice,7500,2482.5,1812,191.2,2003.2,1011.1
2023-01-15,Sunday,CREDIT,2UNSG0,PAY,Watermelon Juice,7500,715.3125,1812,191.2,2003.2,2778.2875
2023-01-16,Monday,BANK,0FWY80,PAY,Dark Chocolate Banana Dream,6500,630,1586.666667,175.3333333,1762,2346
2023-01-16,Monday,BANK,0FWY80,PAY,Apple Carrot Juice,7000,1205.38,1586.666667,175.3333333,1762,2270.62
2023-01-16,Monday,BANK,0FWY80,PAY,Strawberry Milk,6500,1575.03,1586.666667,175.3333333,1762,1400.97
2023-01-16,Monday,CREDIT,2BDSG0,PAY,Orange Juice,6500,1287,1964,221,2185,843
2023-01-16,Monday,CREDIT,2BDSG0,PAY,Strawberry Joyful,6500,2611.61,1964,221,2185,-481.61
2023-01-17,Tuesday,CREDIT,0YVXG0,PAY,Strawberry Juice,6500,1000,1446,157,1603,2294
2023-01-17,Tuesday,CREDIT,0YVXG0,PAY,Pomegranate Juice,7000,1000,1446,157,1603,2794
2023-01-17,Tuesday,CREDIT,0YVXG0,PAY,Strawberry Joyful,6500,2611.61,1446,157,1603,682.39
2023-01-17,Tuesday,CREDIT,0YVXG0,PAY,Mango Coco,6500,1900.7,1446,157,1603,1393.3
2023-01-17,Tuesday,CREDIT,1J61G0,PAY,Mango Coco,6500,1900.7,1964,221,2185,229.3
2023-01-17,Tuesday,CREDIT,1J61G0,PAY,Pineapple Sunshine,6500,2005.77,1964,221,2185,124.23
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Orange Juice,6500,1287,1490.833333,157.5,1648.333333,1916.333333
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Americano,4000,1000,1490.833333,157.5,1648.333333,-296.6666667
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Americano,4000,1000,1490.833333,157.5,1648.333333,-296.6666667
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Americano,4000,1000,1490.833333,157.5,1648.333333,-296.6666667
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Lemon Juice,6500,1037.5,1490.833333,157.5,1648.333333,2165.833333
2023-01-17,Tuesday,CREDIT,1U1RR0,PAY,Lemon Juice,6500,1037.5,1490.833333,157.5,1648.333333,2165.833333
2023-01-17,Tuesday,CREDIT,1W3E00,PAY,Strawberry Lemon Breeze,6500,2838.93,1900,215,2115,-568.93
2023-01-17,Tuesday,CREDIT,1W3E00,PAY,Seasonal Cup Fruit (9oz),7000,1000,1900,215,2115,1770
2023-01-17,Tuesday,BANK,20YP00,PAY,Pear Juice,7500,1002.5,1612.333333,177.6666667,1790,2917.5
2023-01-17,Tuesday,BANK,20YP00,PAY,Lemon Juice,6500,1037.5,1612.333333,177.6666667,1790,1882.5
2023-01-17,Tuesday,BANK,20YP00,PAY,Peanut Butter Jam Toast,5000,669.8,1612.333333,177.6666667,1790,750.2
2023-01-17,Tuesday,CREDIT,272H00,PAY,Berry Blast,6500,1144.07,1996,224.5,2220.5,914.93
2023-01-17,Tuesday,CREDIT,272H00,PAY,Strawberry Juice,6500,1000,1996,224.5,2220.5,1059
2023-01-17,Tuesday,BANK,2VJC00,PAY,Apple Juice,7000,498,1835,193.6,2028.6,2444.8
2023-01-17,Tuesday,BANK,2VJC00,PAY,Orange Juice,6500,1287,1835,193.6,2028.6,1155.8
2023-01-17,Tuesday,BANK,2VJC00,PAY,Pear Juice,7500,1002.5,1835,193.6,2028.6,2440.3
2023-01-17,Tuesday,BANK,2VJC00,PAY,Schisandra Tea,6000,1000,1835,193.6,2028.6,942.8
2023-01-17,Tuesday,BANK,2VJC00,PAY,Americano,4000,1000,1835,193.6,2028.6,-1057.2
2023-01-18,Wednesday,BANK,12Y080,PAY,Strawberry Lemon Breeze,6500,2838.93,1586.666667,175.3333333,1762,137.07
2023-01-18,Wednesday,BANK,12Y080,PAY,Melon Juice,7500,1557.2,1586.666667,175.3333333,1762,2418.8
2023-01-18,Wednesday,BANK,12Y080,PAY,Apple Carrot Juice,7000,1205.38,1586.666667,175.3333333,1762,2270.62
2023-01-18,Wednesday,CHECK,1GL480,PAY,ABC Juice,7000,1274.8,1481.25,160.5,1641.75,2441.7
2023-01-18,Wednesday,CHECK,1GL480,PAY,ABC Juice,7000,1274.8,1481.25,160.5,1641.75,2441.7
2023-01-18,Wednesday,CHECK,1GL480,PAY,Tomato Juice,7000,797.5,1481.25,160.5,1641.75,2919
2023-01-18,Wednesday,CHECK,1GL480,PAY,Tomato Juice,7000,797.5,1481.25,160.5,1641.75,2919
2023-01-18,Wednesday,CREDIT,1KT800,PAY,Apple Carrot Juice,7000,1205.38,2223.5,234.75,2458.25,878.12
2023-01-18,Wednesday,CREDIT,1KT800,PAY,Apple Carrot Juice,7000,1205.38,2223.5,234.75,2458.25,878.12
2023-01-18,Wednesday,CREDIT,1KT800,PAY,Orange Juice,6500,1287,2223.5,234.75,2458.25,296.5
2023-01-18,Wednesday,CREDIT,1KT800,PAY,Orange Juice,6500,1287,2223.5,234.75,2458.25,296.5
2023-01-19,Thursday,MONEY,00M0R0,PAY,Dark Chocolate Banana Dream,6500,630,1586.666667,175.3333333,1762,2346
2023-01-19,Thursday,MONEY,00M0R0,PAY,My Special Greek Yogurt,5000,1000,1586.666667,175.3333333,1762,476
2023-01-19,Thursday,MONEY,00M0R0,PAY,Nutella Peanut Butter Toast,5000,636.3,1586.666667,175.3333333,1762,839.7
2023-01-19,Thursday,CREDIT,18RVR0,PAY,Strawberry Lassi Yogurt Smoothie,6500,1519.71,1932,218,2150,680.29
2023-01-19,Thursday,CREDIT,18RVR0,PAY,Pineapple Sunshine,6500,2005.77,1932,218,2150,194.23
2023-01-19,Thursday,BANK,271GG0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1522.666667,168.6666667,1691.333333,1763.833333
2023-01-19,Thursday,BANK,271GG0,PAY,Peanut Butter Jam Toast,5000,669.8,1522.666667,168.6666667,1691.333333,947.5333333
2023-01-19,Thursday,BANK,271GG0,PAY,My Special Juice,6500,2000,1522.666667,168.6666667,1691.333333,1117.333333
2023-01-20,Friday,CREDIT,0EFW00,PAY,Pineapple Sunshine,6500,2005.77,1322,137.2,1459.2,1575.83
2023-01-20,Friday,CREDIT,0EFW00,PAY,Strawberry Lemon Breeze,6500,2838.93,1322,137.2,1459.2,742.67
2023-01-20,Friday,CREDIT,0EFW00,PAY,Mango Coco,6500,1900.7,1322,137.2,1459.2,1680.9
2023-01-20,Friday,CREDIT,0EFW00,PAY,Berry Blast,6500,1144.07,1322,137.2,1459.2,2437.53
2023-01-20,Friday,CREDIT,0EFW00,PAY,Avocado Banana Bliss,6500,1432.82,1322,137.2,1459.2,2148.78
2023-01-20,Friday,CREDIT,0EFW00,PAY,Strawberry Lemon Breeze,6500,2838.93,1322,137.2,1459.2,742.67
2023-01-20,Friday,CREDIT,0EFW00,PAY,Pineapple Sunshine,6500,2005.77,1322,137.2,1459.2,1575.83
2023-01-20,Friday,CREDIT,0EFW00,PAY,Mango Coco,6500,1900.7,1322,137.2,1459.2,1680.9
2023-01-20,Friday,CREDIT,0EFW00,PAY,Berry Blast,6500,1144.07,1322,137.2,1459.2,2437.53
2023-01-20,Friday,CREDIT,0EFW00,PAY,Avocado Banana Bliss,6500,1432.82,1322,137.2,1459.2,2148.78
2023-01-20,Friday,CHECK,0RPG80,PAY,Mango Juice,6500,1963.9,2047,229.5,2276.5,-16.9
2023-01-20,Friday,CHECK,0RPG80,PAY,My Special Juice,6500,2000,2047,229.5,2276.5,-53
2023-01-20,Friday,MONEY,0VH1R0,PAY,Melon Juice,7500,1557.2,1629.333333,179.3333333,1808.666667,2325.466667
2023-01-20,Friday,MONEY,0VH1R0,PAY,Golden Kiwi Juice,7500,2628.4,1629.333333,179.3333333,1808.666667,1254.266667
2023-01-20,Friday,MONEY,0VH1R0,PAY,Strawberry Juice,6500,1000,1629.333333,179.3333333,1808.666667,1882.666667
2023-01-20,Friday,CREDIT,1E9XG0,PAY,Strawberry Juice,6500,1000,2060,231,2291,918
2023-01-20,Friday,CREDIT,1E9XG0,PAY,Shine Muscat Juice,7000,1000,2060,231,2291,1418
2023-01-20,Friday,CREDIT,1RAL00,PAY,Tomato Juice,7000,797.5,1932,218,2150,1902.5
2023-01-20,Friday,CREDIT,1RAL00,PAY,Pineapple Lassi Yogurt Smoothie,6500,1618.02,1932,218,2150,581.98
2023-01-20,Friday,BANK,1UV900,PAY,Americano,4000,1000,1318,144.25,1462.25,75.5
2023-01-20,Friday,BANK,1UV900,PAY,Persimmon Smoothie,6500,3270,1318,144.25,1462.25,305.5
2023-01-20,Friday,BANK,1UV900,PAY,Pear Juice,7500,1002.5,1318,144.25,1462.25,3573
2023-01-20,Friday,BANK,1UV900,PAY,Pear Juice,7500,1002.5,1318,144.25,1462.25,3573
2023-01-21,Saturday,BANK,0141R0,PAY,Tangerine Juice,6500,1000,1407.5,153.25,1560.75,2378.5
2023-01-21,Saturday,BANK,0141R0,PAY,Strawberry Milk,6500,1575.03,1407.5,153.25,1560.75,1803.47
2023-01-21,Saturday,BANK,0141R0,PAY,Seasonal Cup Fruit (9oz),7000,1000,1407.5,153.25,1560.75,2878.5
2023-01-21,Saturday,BANK,0141R0,PAY,Pear Juice,7500,1002.5,1407.5,153.25,1560.75,3376
2023-01-21,Saturday,CREDIT,0VK300,PAY,Pear Juice,7500,1002.5,2130.5,238,2368.5,1760.5
2023-01-21,Saturday,CREDIT,0VK300,PAY,Avocado Apple Juice,6500,1000,2130.5,238,2368.5,763
2023-01-21,Saturday,CREDIT,1DFEG0,PAY,Strawberry Juice,6500,1000,1565.333333,173,1738.333333,2023.333333
2023-01-21,Saturday,CREDIT,1DFEG0,PAY,Mango Tropical,6500,1946.56,1565.333333,173,1738.333333,1076.773333
2023-01-21,Saturday,CREDIT,1DFEG0,PAY,Cream Cheese Croffle,7000,1000,1565.333333,173,1738.333333,2523.333333
2023-01-21,Saturday,CREDIT,1FPY80,PAY,ABC Juice,7000,1274.8,2130.5,238,2368.5,988.2
2023-01-21,Saturday,CREDIT,1FPY80,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,2130.5,238,2368.5,409.5
2023-01-21,Saturday,CREDIT,1WFRG0,PAY,Strawberry Banana Milk,6500,1719.03,1932,218,2150,480.97
2023-01-21,Saturday,CREDIT,1WFRG0,PAY,Strawberry Joyful,6500,1611.25,1932,218,2150,588.75
2023-01-21,Saturday,CREDIT,29PRR0,PAY,Strawberry Juice,6500,1000,1382,150.5,1532.5,2435
2023-01-21,Saturday,CREDIT,29PRR0,PAY,Strawberry Milk,6500,1575.03,1382,150.5,1532.5,1859.97
2023-01-21,Saturday,CREDIT,29PRR0,PAY,Croque-Monsieur,6000,2229.92,1382,150.5,1532.5,705.08
2023-01-21,Saturday,CREDIT,29PRR0,PAY,Apple Kale Juice,7000,1006.5,1382,150.5,1532.5,2928.5
2023-01-21,Saturday,CHECK,2XBM80,PAY,Mango Juice,6500,1963.9,1481.25,160.5,1641.75,1252.6
2023-01-21,Saturday,CHECK,2XBM80,PAY,Melon Juice,7500,1557.2,1481.25,160.5,1641.75,2659.3
2023-01-21,Saturday,CHECK,2XBM80,PAY,ABC Juice,7000,1274.8,1481.25,160.5,1641.75,2441.7
2023-01-21,Saturday,CHECK,2XBM80,PAY,ABC Juice,7000,1274.8,1481.25,160.5,1641.75,2441.7
2023-01-22,Sunday,CHECK,155KR0,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-22,Sunday,CHECK,155KR0,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-22,Sunday,CREDIT,1MLCR0,PAY,ABC Juice,7000,1274.8,2223.5,234.75,2458.25,808.7
2023-01-22,Sunday,CREDIT,1MLCR0,PAY,Apple Carrot Cabbage Juice,7000,1205.38,2223.5,234.75,2458.25,878.12
2023-01-22,Sunday,CREDIT,1MLCR0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,2223.5,234.75,2458.25,230
2023-01-22,Sunday,CREDIT,1MLCR0,PAY,ABC Juice,7000,1274.8,2223.5,234.75,2458.25,808.7
2023-01-22,Sunday,CREDIT,23S0R0,PAY,Peanut Butter Jam Toast,5000,669.8,1544,171,1715,900.2
2023-01-22,Sunday,CREDIT,23S0R0,PAY,My Special Greek Yogurt,5000,1000,1544,171,1715,570
2023-01-22,Sunday,CREDIT,23S0R0,PAY,Banana Walnut Milk,7000,1000,1544,171,1715,2570
2023-01-22,Sunday,CHECK,2C3E80,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-22,Sunday,CHECK,2C3E80,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-23,Monday,CREDIT,181880,PAY,My Special Juice,6500,2000,1642,180.6666667,1822.666667,854.6666667
2023-01-23,Monday,CREDIT,181880,PAY,Apple Lemon Kale Celery Juice,7000,2192.5,1642,180.6666667,1822.666667,1162.166667
2023-01-23,Monday,CREDIT,181880,PAY,Melon Juice,7500,1557.2,1642,180.6666667,1822.666667,2297.466667
2023-01-23,Monday,CREDIT,04G080,PAY,Strawberry Juice,6500,1000,1932,218,2150,1200
2023-01-23,Monday,CREDIT,04G080,PAY,Nutella Strawberry Toast,7500,1000,1932,218,2150,2200
2023-01-23,Monday,CREDIT,1SAJR0,PAY,Tomato Juice,7000,797.5,1620.666667,178.6666667,1799.333333,2603.833333
2023-01-23,Monday,CREDIT,1SAJR0,PAY,Apple Carrot Juice,7000,1205.38,1620.666667,178.6666667,1799.333333,2195.953333
2023-01-23,Monday,CREDIT,1SAJR0,PAY,Banana Walnut Milk,7000,1000,1620.666667,178.6666667,1799.333333,2401.333333
2023-01-23,Monday,CREDIT,1WEL00,PAY,Pineapple Juice,6500,2492.2,1586.666667,175.3333333,1762,483.8
2023-01-23,Monday,CREDIT,1WEL00,PAY,Pineapple Juice,6500,2492.2,1586.666667,175.3333333,1762,483.8
2023-01-23,Monday,CREDIT,1WEL00,PAY,Pineapple Juice,6500,2492.2,1586.666667,175.3333333,1762,483.8
2023-01-24,Tuesday,CHECK,0GA600,PAY,Dark Chocolate Banana Dream,6500,630,1964,221,2185,1500
2023-01-24,Tuesday,CHECK,0GA600,PAY,Dark Chocolate Banana Dream,6500,630,1964,221,2185,1500
2023-01-24,Tuesday,CHECK,1GT0R0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1964,221,2185,776.5
2023-01-24,Tuesday,CHECK,1GT0R0,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-24,Tuesday,CREDIT,2HED80,PAY,Pineapple Juice,6500,2492.2,1964,221,2185,-362.2
2023-01-24,Tuesday,CREDIT,2HED80,PAY,Pineapple Juice,6500,2492.2,1964,221,2185,-362.2
2023-01-24,Tuesday,CHECK,2HY4G0,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-24,Tuesday,CHECK,2HY4G0,PAY,Apple Kale Juice,7000,1006.5,1964,221,2185,1623.5
2023-01-24,Tuesday,BANK,2SKCG0,PAY,Watermelon Juice,7500,715.3125,1936.666667,202,2138.666667,2507.354167
2023-01-24,Tuesday,BANK,2SKCG0,PAY,Peach Juice,6500,1488.7,1936.666667,202,2138.666667,733.9666667
2023-01-24,Tuesday,BANK,2SKCG0,PAY,Golden Kiwi Juice,7500,2628.4,1936.666667,202,2138.666667,594.2666667
2023-01-24,Tuesday,BANK,2SKCG0,PAY,Green Grape Kiwi Juice,7000,2169.2,1936.666667,202,2138.666667,553.4666667
2023-01-24,Tuesday,BANK,2SKCG0,PAY,ABC Juice,7000,1274.8,1936.666667,202,2138.666667,1447.866667
2023-01-24,Tuesday,BANK,2SKCG0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1936.666667,202,2138.666667,869.1666667
2023-01-26,Thursday,BANK,0A4300,PAY,Pear Juice,7500,1002.5,1612.333333,177.6666667,1790,2917.5
2023-01-26,Thursday,BANK,0A4300,PAY,Lemon Juice,6500,1037.5,1612.333333,177.6666667,1790,1882.5
2023-01-26,Thursday,BANK,0A4300,PAY,Peanut Butter Jam Toast,5000,669.8,1612.333333,177.6666667,1790,750.2
